

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
051.436  000.217  000.217: require('nvim-tree.actions.moves.sibling')
051.666  000.227  000.227: require('nvim-tree.actions.moves.item')
051.956  000.284  000.284: require('nvim-tree.actions.finders.search-node')
052.146  000.187  000.187: require('nvim-tree.actions.node.run-command')
052.396  000.247  000.247: require('nvim-tree.actions.node.file-popup')
052.622  000.223  000.223: require('nvim-tree.actions.node.system-open')
052.810  000.186  000.186: require('nvim-tree.marks.bulk-move')
052.813  003.330  000.285: require('nvim-tree.actions.dispatch')
052.838  012.960  000.726: require('nvim-tree')
053.006  000.166  000.166: require('nvim-tree.config')
053.894  000.099  000.099: require('vim.inspect')
056.393  000.759  000.759: require('nvim-tree.actions')
057.094  000.696  000.696: require('nvim-tree.actions.node.open-file')
059.243  000.193  000.193: require('nvim-tree.marks.navigation')
059.266  000.463  000.271: require('nvim-tree.api')
059.272  000.718  000.254: require('nvim-tree.keymap')
060.018  000.005  000.005: require('vim.F')
060.023  000.610  000.605: require('nvim-web-devicons')
061.082  021.285  005.278: require('oasido.nvim-tree')
061.357  000.049  000.049: require('bufferline.lazy')
061.415  000.053  000.053: require('bufferline.constants')
061.564  000.147  000.147: require('bufferline.commands')
061.571  000.452  000.203: require('bufferline')
061.729  000.156  000.156: require('bufferline.utils')
062.048  000.315  000.315: require('bufferline.config')
062.390  000.260  000.260: require('bufferline.groups')
062.495  000.091  000.091: require('bufferline.colors')
062.746  000.158  000.158: require('bufferline.highlights')
063.350  000.007  000.007: require('vim.keymap')
063.357  000.108  000.101: require('bufferline.hover')
063.792  000.397  000.397: require('bufferline.ui')
063.819  002.734  000.797: require('oasido.bufferline')
064.486  000.159  000.159: require('lualine_require')
064.729  000.789  000.629: require('lualine')
069.183  005.362  004.573: require('oasido.lualine')
069.810  000.255  000.255: require('telescope._extensions')
069.814  000.563  000.308: require('telescope')
073.470  000.417  000.417: require('plenary.bit')
073.747  000.273  000.273: require('plenary.functional')
073.780  000.021  000.021: require('ffi')
073.800  001.708  000.997: require('plenary.path')
073.809  002.133  000.425: require('plenary.strings')
074.040  000.229  000.229: require('telescope.deprecated')
075.261  000.394  000.394: require('plenary.log')
075.284  000.635  000.240: require('telescope.log')
076.524  000.645  000.645: require('plenary.job')
076.762  000.236  000.236: require('telescope.state')
076.780  001.493  000.612: require('telescope.utils')
076.799  002.756  000.628: require('telescope.sorters')
078.305  007.265  002.146: require('telescope.config')
078.972  000.308  000.308: require('plenary.window.border')
079.163  000.188  000.188: require('plenary.window')
079.362  000.198  000.198: require('plenary.popup.utils')
079.365  001.057  000.364: require('plenary.popup')
079.605  000.238  000.238: require('telescope.pickers.scroller')
079.817  000.210  000.210: require('telescope.actions.state')
080.059  000.240  000.240: require('telescope.actions.utils')
080.608  000.270  000.270: require('telescope.actions.mt')
080.622  000.561  000.291: require('telescope.actions.set')
081.139  000.266  000.266: require('telescope.config.resolve')
081.142  000.519  000.252: require('telescope.pickers.entry_display')
081.359  000.216  000.216: require('telescope.from_entry')
081.479  011.662  001.357: require('telescope.actions')
082.353  013.165  000.940: require('oasido.telescope')
083.297  000.139  000.139: require('cmp.utils.debug')
083.698  000.186  000.186: require('cmp.utils.char')
083.703  000.403  000.217: require('cmp.utils.str')
083.841  000.137  000.137: require('cmp.utils.pattern')
084.464  000.219  000.219: require('cmp.utils.misc')
084.613  000.146  000.146: require('cmp.utils.buffer')
084.781  000.166  000.166: require('cmp.utils.api')
084.785  000.781  000.250: require('cmp.utils.keymap')
084.815  000.972  000.191: require('cmp.utils.feedkeys')
085.032  000.215  000.215: require('cmp.utils.async')
085.669  000.197  000.197: require('cmp.types.cmp')
085.985  000.312  000.312: require('cmp.types.lsp')
086.136  000.148  000.148: require('cmp.types.vim')
086.139  000.903  000.247: require('cmp.types')
086.310  000.169  000.169: require('cmp.utils.cache')
086.314  001.280  000.208: require('cmp.context')
087.321  000.303  000.303: require('cmp.config.mapping')
087.955  000.366  000.366: require('cmp.config.compare')
087.959  000.633  000.267: require('cmp.config.default')
087.973  001.273  000.337: require('cmp.config')
088.880  000.337  000.337: require('cmp.matcher')
088.887  000.912  000.574: require('cmp.entry')
088.895  002.579  000.395: require('cmp.source')
089.447  000.216  000.216: require('cmp.utils.event')
090.131  000.394  000.394: require('cmp.utils.window')
090.160  000.710  000.316: require('cmp.view.docs_view')
